model,n_folds_ok,n_folds_failed,mae,mae_std,rmse,rmse_std,mape,mape_std,smape,smape_std,mase,mase_std,directional_accuracy,directional_accuracy_std,path_directional_accuracy,path_directional_accuracy_std,return_correlation,return_correlation_std,interval_coverage,interval_coverage_std,coverage_error,coverage_error_std,mean_interval_width,mean_interval_width_std,relative_interval_width,relative_interval_width_std,winkler_score,winkler_score_std,interval_level,interval_level_std
random_walk,3,0,3848.572363286555,1390.0909832251248,5042.334290111694,2388.122671102076,14.654827021067115,6.160200098943646,16.386086588790075,7.09915063473565,8.784724006888744,1.47520375104997,0.4444444444444444,0.41573970964154905,0.4482758620689655,0.028155054514749187,,,0.9444444444444445,0.0415739709641549,0.03888888888888886,0.015713484026367745,16829.036075014465,12214.837185049517,0.5029339807280568,0.03565809511637708,17884.783890481882,11366.98654010444,0.9499999999999998,1.1102230246251565e-16
random_walk_drift,3,0,3480.189781528632,1355.1235464622468,4455.4097936219705,2081.2575463240337,13.033963214439964,5.631237160698973,14.393660215902317,6.468767152532297,7.788651196755243,1.2476914098766292,0.8888888888888888,0.15713484026367724,0.5517241379310344,0.028155054514749138,0.5215253927425861,0.44551644665113194,0.9555555555555556,0.0415739709641549,0.038888888888888896,0.015713484026367693,17259.182298874875,12437.742200600922,0.518810861896064,0.042694825587287454,17906.128692733866,11896.139721072122,0.9499999999999998,1.1102230246251565e-16
historical_mean_return,3,0,4286.726401154533,1855.6503086419193,5611.831540436747,3006.403265501335,15.252262558256662,6.376542625665133,17.189405414095784,7.5502632884263265,9.244226239523032,1.1347194635986662,0.4444444444444444,0.41573970964154905,0.5057471264367815,0.05860941969646876,-0.5934313156003032,0.34496797969877946,0.5555555555555555,0.27532248207475263,0.3944444444444444,0.27532248207475263,11254.131887753649,6961.2400263324835,0.36374419588346746,0.049320032788952535,28099.154068901593,12111.011389322588,0.9499999999999998,1.1102230246251565e-16
arima,3,0,3840.2668956706457,1402.5412030770428,5033.742918801693,2396.2573451886346,14.581793650044107,6.147345782201256,16.299527819030185,7.0878382218168765,8.740610728011125,1.4463348899362016,0.5555555555555555,0.41573970964154905,0.5172413793103449,0.07449127239549264,0.1707481411256062,0.1776369372293363,0.9333333333333332,0.04714045207910316,0.04999999999999997,5.238750013840908e-17,16657.01216715166,11743.640300980253,0.5098996727029835,0.057653228553179184,17575.984428662287,11033.388982978056,0.9499999999999998,1.1102230246251565e-16
ets,3,0,3801.7573719038446,1528.9933271189334,5018.65149039343,2529.4720283971815,14.011212465344876,6.067111944139167,15.635027311374097,7.030319174464096,8.415111898974414,1.2555327832822154,0.4444444444444444,0.41573970964154905,0.5057471264367815,0.05860941969646876,-0.5503082161753564,0.39670584057219366,0.9555555555555556,0.03142696805273544,0.027777777777777752,0.015713484026367772,17813.185431799095,12546.419486188226,0.5465186729819114,0.06861341872787333,18442.483560086574,12053.487107095729,0.9499999999999998,1.1102230246251565e-16
prophet,3,0,9404.989665923003,6585.597268684216,10036.751754129522,7027.089477224682,27.93271231563348,2.7461080848874357,30.112608911494434,5.737456340673292,18.091364782938413,5.044237117037808,0.2222222222222222,0.31426968052735443,0.3908045977011494,0.032510656606278034,-0.519591016690234,0.3336440479309682,0.3666666666666667,0.262466929133727,0.5833333333333334,0.262466929133727,21856.422914334285,24153.72526602685,0.4706359629961507,0.2514664114123357,92008.9279142501,45559.04653572657,0.9499999999999998,1.1102230246251565e-16
prophet_xgb_hybrid,3,0,10158.505895137203,8002.653822346623,10791.142098264521,8355.637296230212,28.250427816508758,3.412883933720948,29.767664264433083,3.2820728961698187,18.916025430334503,7.259894794008998,0.24444444444444444,0.2985561965009867,0.42528735632183906,0.043007556169815435,-0.42735309531816595,0.42109696814000597,0.2333333333333333,0.09428090415820632,0.7166666666666667,0.09428090415820638,16330.574295716737,14496.873027654929,0.4313384080284998,0.0808090089709101,168667.6846174225,147548.45078455505,0.9499999999999998,1.1102230246251565e-16
