date,prophet_baseline,xgboost_res,combined_price,combined_low_mc,combined_high_mc
2026-03-14,64666.432921771215,0.026381852,66395.15638961432,62179.19448386613,69779.75224426395
2026-03-15,64384.392926812,0.028614754,66253.34881502276,61741.50603762134,70734.9136363547
2026-03-16,64213.887321809925,0.029311186,66123.9285358172,62111.64671755344,70569.60674887898
2026-03-17,63908.9742131323,0.032745313,66036.33401597118,62626.76429209122,71002.43055534064
2026-03-18,63826.31417260774,0.038480338,66330.23927501198,61053.94625182785,70836.19054706005
2026-03-19,63313.59972275664,0.032709148,65418.77517152978,61054.94721572687,70076.77912225071
2026-03-20,63143.36170477243,0.03337911,65286.60174592963,61021.18875893871,69459.43894823076
2026-03-21,62831.18926518137,0.04154977,65496.805000688764,61476.9775202156,69821.91717484337
2026-03-22,62647.11430447471,0.041073784,65273.84394724503,61278.53049696034,69481.28973885301
2026-03-23,62571.25244125675,0.041744076,65238.51544246955,61280.184700756065,69541.3944911981
2026-03-24,62362.24286968991,0.041744076,65020.596292216185,61428.21301289886,69741.75941111115
2026-03-25,62366.42698710528,0.041555576,65012.70273921401,60255.068627661385,69261.73468789582
2026-03-26,61945.09683233149,0.043695148,64711.80263710853,60819.66352226974,69816.10741917358
2026-03-27,61852.385147337074,0.050000485,65023.65628591138,60902.462212294544,69392.33294297708
2026-03-28,61613.714237542845,0.04465977,64427.73773240191,60285.07201795817,69595.95041357126
2026-03-29,61493.31279978002,0.050767258,64695.76165737242,60112.95469019801,69339.38661071782
2026-03-30,61471.92748925436,0.05657359,65049.869279193925,61015.43282625441,69654.42825280088
2026-03-31,61312.73061818954,0.056895483,64902.2947910248,60656.8040566205,69166.34927659508
2026-04-01,61356.69431814249,0.06792427,65669.10363590629,61610.28057762835,70618.48095189112
2026-04-02,60976.248619436854,0.057522982,64586.62873351542,60879.43145144377,69518.70205026702
2026-04-03,60914.452470948076,0.062811345,64863.288831593236,60637.66639943092,69324.54068696321
2026-04-04,60705.36845495494,0.04400981,63436.66109475596,58390.26076391333,68358.64820357566
2026-04-05,60610.55950211131,0.05837785,64254.192714699646,59607.75057768316,69030.74810882244
2026-04-06,60612.551115332215,0.0636662,64597.01406862789,61061.64722679525,68913.51175610225
2026-04-07,60479.23544090569,0.0636662,64454.93467520139,60408.03943266828,69639.89091679874
2026-04-08,60548.27587588263,0.0636662,64528.51359355155,61169.62806481645,70468.88174301355
2026-04-09,60201.61499525706,0.0636662,64159.064405705896,59649.2570369923,68161.24087288331
2026-04-10,60173.73880229624,0.0636662,64129.355726633075,59447.895240523845,67795.82237925191
2026-04-11,60005.559013528145,0.0636662,63950.12037056895,60275.65505671051,67503.60969647313
2026-04-12,59956.232994043174,0.0636662,63897.551826332005,59946.9942042696,69213.87029302948
