date,prophet_baseline,xgboost_res,combined_price,combined_low_mc,combined_high_mc
2026-04-03,82921.2450582066,-0.018655892461538315,81388.61596082739,72349.00498101808,90026.76388320759
2026-04-04,83046.01153529511,0.032123614102602005,85757.06078289737,76542.9902815524,95012.02736025875
2026-04-05,83261.96472232185,0.03190978616476059,85961.68081917257,77894.28189463356,94657.63994283992
2026-04-06,83480.9161243487,0.03175000473856926,86173.96148221046,76880.6574189373,96787.56017099987
2026-04-07,83504.70043732061,0.03242381289601326,86256.61389663049,77634.53222456922,95173.56051191222
2026-04-08,83914.68024758226,0.031088829040527344,86564.46533554074,78124.78199127491,95402.84790588479
2026-04-09,83751.05477999448,0.03150163218379021,86431.34481226544,77160.74420207254,94964.69228602712
2026-04-10,83951.8935934192,0.03206191584467888,86687.16688172093,78548.72795132603,96925.28017728284
2026-04-11,84081.77441472765,0.03178010135889053,86796.81535987034,78536.67136615039,96090.11497514987
2026-04-12,84321.01823633283,0.018575001507997513,85901.9184343484,76693.92550770323,94443.39249568208
2026-04-13,84577.78676361099,0.01853223890066147,86159.81651228503,77797.54121275425,96004.58204029461
2026-04-14,84648.29158359389,0.019029835239052773,86274.55935251883,77928.74769748957,95769.33794373939
2026-04-15,85118.6817696548,0.01902003213763237,86753.13624749632,78797.44449274524,96226.16471876223
2026-04-16,85012.16869378506,0.019029835239052773,86645.42729034614,78076.4735738826,95618.88766927009
2026-04-17,85277.0326449417,0.018755489960312843,86891.53826917759,78718.83106939675,96434.1477577867
2026-04-18,85468.18085848323,0.021685434505343437,87341.83760247624,78524.39090143215,97202.69532739303
2026-04-19,85765.80738800582,0.013422351330518723,86924.7466323251,77518.57123619088,96542.48262423882
2026-04-20,86073.87120001609,0.011587737128138542,87077.0737915935,78204.70578460908,97909.38670747868
2026-04-21,86182.52001929344,0.011587737128138542,87186.98892753062,77918.47719554447,98052.90816714198
2026-04-22,86686.61415405937,0.012114111334085464,87743.13191554179,80797.74609832342,96870.74529601197
2026-04-23,86590.11861769516,0.012114111334085464,87645.46031238725,79438.60278118806,97847.46666312646
2026-04-24,86858.05950366025,0.012114111334085464,87916.66680409564,79634.71959032769,97323.54118476575
2026-04-25,87037.00886408784,0.011918675154447556,88080.58134618182,79028.38726386028,98067.03465270864
2026-04-26,87310.98000736606,0.012114111334085464,88375.1074052395,79600.23823633746,97714.6644668025
2026-04-27,87583.24803046952,0.020200712606310844,89370.48298709921,80555.74510075324,100332.17521599165
2026-04-28,87642.08531782447,0.020390773192048073,89447.51974820302,81305.15308562185,99445.10867566349
2026-04-29,88094.65683781485,0.020200712606310844,89892.32766794969,81160.15288022025,99514.97715281714
2026-04-30,87931.3284002086,0.020390773192048073,89742.72126274667,80683.06233693362,99740.8821969324
2026-05-01,88135.75534098799,0.02096354030072689,90002.89535362714,80922.63553333042,99960.11446136537
2026-05-02,88250.64498626215,0.02096354030072689,90120.21891522617,80943.9315428208,101177.53220220128
2026-05-03,88466.06781914689,0.02096354030072689,90340.20544180548,81210.69705817656,100746.50412708765
2026-05-04,88687.32429568024,0.02107732743024826,90576.45504519166,82235.35047348645,100286.95646525463
2026-05-05,88703.46182351321,0.015203147195279598,90062.33702660153,81906.4118781868,99437.72501532825
2026-05-06,89132.11525533197,0.015457355417311192,90520.56527759907,81927.30949395038,100166.44396201191
2026-05-07,88954.3723025876,0.015457355417311192,90340.0535449824,82049.91101985429,101640.39216637572
2026-05-08,89167.68473105812,0.015457355417311192,90556.68883463726,81283.72672906864,101394.20999567321
2026-05-09,89311.05105678659,0.015457355417311192,90702.28844045315,81746.44499205648,100595.70414756484
2026-05-10,89577.84618808191,0.015457355417311192,90973.23955643398,81684.97187818878,100267.845706153
2026-05-11,89872.64583239022,0.015457355417311192,91272.63142400021,81421.27921209874,99940.01188701323
2026-05-12,89981.10986043476,0.014711553230881691,91314.65697104792,83611.54852153204,101520.93211375152
2026-05-13,90528.64219183232,0.014506470412015915,91851.46480723085,83074.86338344596,103484.00488030132
2026-05-14,90478.6612388011,0.020380660891532898,92341.59558432737,83453.57506177104,104149.78393441731
2026-05-15,90841.82385653433,0.021346893161535263,92801.8604810395,82491.34112423948,104244.00401559993
2026-05-16,91146.21280080263,0.021346893161535263,93112.81703319514,84445.24150465133,104665.73540828109
